id,city,country_code,lat,temp,humidity,windspeed,cloudiness
521118,nizhnekamsk,RU,55.64,41.0,93,15.66,75
2509402,yecla,ES,38.61,62.6,88,2.51,0
3668605,santa marta,CO,11.24,84.2,79,13.87,75
3532499,ayutla de los libres,MX,16.9,73.4,100,4.7,90
5192726,harrisburg,US,40.27,57.45,100,14.99,90
4025994,coahuayana,MX,18.7,80.6,69,9.17,75
109122,al mikhlāf,SA,17.54,68.0,19,2.95,0
1734841,kuala pilah,MY,2.74,77.0,94,1.95,75
6167817,torbay,CA,47.67,46.4,87,4.7,90
2122605,okhotsk,RU,59.38,16.99,100,10.67,56
3832768,villa del lago,AR,-31.42,75.2,53,6.93,75
3464724,diamantino,BR,-14.41,89.35,61,2.95,8
3057273,svodin,SK,47.91,46.4,65,29.97,0
2059539,utakarra,AU,-28.78,48.2,87,10.29,0
2229761,kribi,CM,2.95,74.68,98,4.07,32
3184197,selenice,AL,40.53,55.83,76,6.64,68
5380437,pacific grove,US,36.62,56.5,100,4.41,90
5954719,flin flon,CA,54.77,30.2,80,16.11,90
2634552,welwyn garden city,GB,51.8,45.28,81,10.29,75
5363429,kingsburg,US,36.51,81.68,34,6.93,1
3445026,vila velha,BR,-20.33,82.4,74,4.7,20
964406,port shepstone,ZA,-30.74,69.55,80,15.82,0
6295613,kilo,FI,60.22,33.8,100,13.87,75
5972762,hay river,CA,60.82,39.2,80,6.93,75
2864067,neustadt,DE,53.55,45.5,81,8.05,0
3899695,ancud,CL,-41.87,50.74,76,9.44,92
3091141,namyslow,PL,51.08,41.0,80,26.4,40
7080898,zatur’ye,RU,56.29,35.62,100,7.87,80
3453420,planaltina,BR,-15.45,69.8,83,6.93,75
2173125,burnie,AU,-41.07,52.36,100,14.81,92
1265901,kotwa,IN,25.02,66.18,74,2.73,0
1283285,jumla,NP,29.27,27.66,83,1.83,8
3895061,chimbarongo,CL,-34.7,64.4,36,5.82,40
1258859,rajgurunagar,IN,18.87,63.39,78,3.18,0
3836669,san rafael,AR,-34.62,67.48,18,6.42,64
4061234,fairhope,US,30.52,59.83,41,4.7,1
935227,saint-joseph,RE,-21.38,71.42,73,3.36,75
3517932,san pedro zacatenco,MX,19.5,70.36,31,4.7,75
3387928,senador jose porfirio,BR,-2.59,84.99,75,3.18,0
3662927,pauini,BR,-7.71,85.08,81,5.75,8
3459712,joinville,BR,-26.3,71.6,78,5.82,90
1270090,hindaun,IN,26.72,61.9,61,2.84,0
1864873,ayabe,JP,35.3,57.2,62,17.22,40
3129135,aviles,ES,43.55,57.2,93,1.12,75
286621,salalah,OM,17.02,80.6,74,5.82,20
3573061,saint george,BM,32.38,75.2,60,13.87,75
2621193,grindsted,DK,55.75,43.16,75,9.17,36
1223488,weragampita,LK,5.95,77.61,100,4.41,36
2964782,dingle,IE,52.14,51.64,100,4.63,0
667303,sfantu-gheorghe,RO,45.87,37.15,84,10.11,92
3401148,cururupu,BR,-1.83,83.91,66,12.68,0
3412093,vestmannaeyjar,IS,63.44,46.83,93,17.16,56
3435257,constitución,AR,-34.63,75.67,78,12.75,75
660158,espoo,FI,60.21,33.8,100,13.87,75
3567834,baracoa,CU,20.35,85.66,88,9.78,8
3356832,hentiesbaai,NA,-22.12,58.71,93,5.3,0
2068655,katherine,AU,-14.47,75.2,88,5.82,0
2170430,cootamundra,AU,-34.65,60.78,76,11.56,0
5118226,garden city,US,40.73,64.96,88,19.46,90
4957320,bar harbor,US,44.39,59.31,76,5.82,1
3478424,pontal do parana,BR,-25.67,66.18,78,5.82,90
1229554,puliyadikuda,LK,7.72,75.67,100,4.18,68
3575479,charlestown,KN,17.13,83.61,70,6.93,20
2636790,stornoway,GB,58.21,37.4,86,1.12,56
6050066,la ronge,CA,55.1,30.2,74,12.75,90
509234,pitkyaranta,RU,61.57,34.68,100,6.87,92
3347019,namibe,AO,-15.2,69.01,100,5.19,0
2012956,yerbogachen,RU,61.28,25.18,95,5.75,76
6316343,alta floresta,BR,-9.88,83.86,78,1.72,12
590030,narva-joesuu,EE,59.46,38.01,100,1.5,92
3131500,visnes,NO,59.36,41.77,100,32.21,40
3696183,iquitos,PE,-3.75,84.2,74,6.93,40
3402648,carutapera,BR,-1.2,82.74,73,11.79,0
1488708,ubinskoye,RU,55.31,17.13,90,7.2,0
53654,mogadishu,SO,2.04,79.9,100,8.99,44
739600,sinop,TR,42.03,56.46,100,3.06,100
1490918,staryy nadym,RU,65.61,17.26,89,5.3,88
2514651,los llanos de aridane,ES,28.66,73.4,73,11.41,40
1830377,lumphat,KH,13.49,72.03,70,7.31,0
4335045,new orleans,US,29.95,61.18,47,9.17,1
4533029,chickasha,US,35.05,73.38,29,9.17,1
3440777,rocha,UY,-34.48,69.33,65,12.01,88
1279233,ahmadabad,IN,23.03,73.4,64,2.62,0
1609776,khon kaen,TH,16.45,71.6,83,8.05,20
3466980,caravelas,BR,-17.71,78.33,100,22.53,36
5554428,ketchikan,US,55.34,52.43,53,16.11,1
1737486,bintulu,MY,3.17,78.8,94,3.18,90
3176748,forio,IT,40.73,60.17,67,4.7,0
3160630,borkenes,NO,68.77,34.39,80,17.22,88
3718426,port-au-prince,HT,18.54,87.8,62,10.29,75
1264007,malvan,IN,16.07,85.84,92,4.85,92
3405304,bom jesus,BR,-9.07,96.64,23,6.64,80
3985710,cabo san lucas,MX,22.89,82.96,100,6.98,0
3408368,acarau,BR,-2.89,83.95,66,19.28,0
1632694,pangkalanbuun,ID,-2.68,72.61,97,2.62,12
3519897,san ángel inn,MX,19.35,72.19,31,4.7,75
2611060,tvoroyri,FO,61.56,35.6,80,7.54,8
4148677,boynton beach,US,26.53,74.32,53,23.04,1
3443631,bella union,UY,-30.28,79.23,64,5.97,88
3437815,los cedrales,PY,-25.65,79.41,88,4.7,75
1185252,khagrachhari,BD,23.1,67.71,97,2.84,92
4480153,morehead city,US,34.72,65.48,93,4.7,90
2633331,ystradowen,GB,51.49,47.62,81,9.17,75
1544819,rudnik,RU,69.75,20.95,92,14.36,68
2618795,klaksvik,FO,62.23,35.6,80,8.66,12
2396518,port-gentil,GA,-0.72,80.6,88,3.36,20
296847,yeşilköy,TR,36.9,59.0,93,6.93,75
831129,mirnyy,RU,62.76,30.4,86,8.66,92
1259813,phalodi,IN,27.13,65.23,71,4.18,0
1863978,fukuma,JP,33.77,59.83,67,17.22,75
3571913,marsh harbour,BS,26.54,78.73,100,23.76,0
3379507,bartica,GY,6.4,80.6,88,4.7,40
187896,mandera,KE,3.94,82.33,51,3.74,92
503965,pushkinskiye gory,RU,57.02,31.21,80,3.29,56
3196864,kutina,HR,45.48,55.4,32,16.11,0
1610503,kaeng khoi,TH,14.59,75.54,63,12.35,0
3386931,tamandare,BR,-8.76,77.29,85,9.78,100
619095,zarovtsy,BY,54.23,40.12,99,6.08,92
3893629,coquimbo,CL,-29.95,60.8,55,11.41,0
1516589,zhezqazghan,KZ,47.78,36.43,75,12.24,88
536200,leningradskaya,RU,46.32,40.03,92,4.63,32
4776037,city of newport news,US,37.06,63.36,93,3.96,90
2168305,dubbo,AU,-32.25,64.4,77,4.7,0
5404555,union city,US,37.6,59.76,82,6.93,90
3179190,cellino san marco,IT,40.47,55.8,72,12.75,0
3530597,mexico city,MX,19.43,72.18,31,4.7,75
5503914,fallon,US,39.47,68.38,14,5.82,1
643522,otaniemi,FI,60.18,33.8,100,13.87,75
5119251,greece,US,43.21,46.4,93,9.17,90
4580543,greenville,US,34.85,51.53,75,16.11,1
1646443,cimaja,ID,-6.95,80.31,100,9.66,8
4224413,statesboro,US,32.45,54.12,50,17.22,1
629055,dzisna,BY,55.57,40.26,99,5.3,92
1630639,pringsewu,ID,-5.36,72.34,96,2.17,12
484034,tatishchevo,RU,51.67,44.6,100,2.24,75
1064980,fenoarivo atsinanana,MG,-17.37,66.36,87,2.17,0
3693584,pimentel,PE,-6.84,69.8,68,20.8,0
988356,kokstad,ZA,-30.55,48.54,86,2.73,0
3869716,tocopilla,CL,-22.09,61.99,85,5.64,0
6696686,pyt-yakh,RU,60.75,20.91,81,7.54,68
6096551,pangnirtung,CA,66.15,24.8,68,3.36,90
3671497,puerto colombia,CO,10.99,84.2,79,9.17,40
758282,stary sacz,PL,49.56,32.0,97,3.36,90
3940002,huacho,PE,-11.11,70.14,66,6.76,12
1641017,kasiguncu,ID,-1.42,78.24,100,3.74,24
367544,sawakin,SD,19.11,84.2,79,5.82,0
3366880,hermanus,ZA,-34.42,58.3,81,5.64,0
212902,kindu,CD,-2.95,70.9,97,3.62,32
2994497,menton,FR,43.78,57.83,67,5.82,0
3401845,conceicao do araguaia,BR,-8.26,90.79,50,6.42,48
964432,port alfred,ZA,-33.59,66.54,88,9.66,0
6355222,yulara,AU,-25.24,68.0,45,10.29,0
296852,erzin,TR,36.96,61.83,93,6.93,75
2487130,wilaya de mostaganem,DZ,36.0,52.63,89,3.74,0
4129397,russellville,US,35.28,62.6,18,4.85,1
2616914,midvagur,FO,62.05,35.6,80,5.97,8
3404558,cabedelo,BR,-6.98,78.8,83,10.29,75
2269594,cascais,PT,38.7,66.76,30,9.17,0
3489440,morant bay,JM,17.88,86.0,79,5.82,40
2056999,oesapa,ID,-10.15,76.12,100,1.39,0
2644605,lerwick,GB,60.15,40.1,80,11.41,48
3447779,serra,BR,-20.13,82.4,74,4.7,20
1214488,meulaboh,ID,4.14,77.74,100,3.85,36
1688216,santa cruz,PH,14.6,78.8,100,2.24,40
3393536,olinda,BR,-8.01,78.8,74,8.05,40
2173910,broken hill municipality,AU,-31.95,57.99,41,17.27,0
5744635,pacific city,US,45.2,55.02,76,3.74,90
5767918,pierre,US,44.37,51.8,53,23.04,90
371745,kutum,SD,14.2,67.08,22,10.0,0
727011,sofia,BG,42.7,44.6,81,18.34,90
1272140,dwarka,IN,22.24,81.16,98,9.22,0
2250645,kedougou,SN,12.56,75.76,57,5.19,0
625073,mahilyowskaya voblasts’,BY,54.0,40.44,98,9.22,92
3448903,sao joao da barra,BR,-21.64,77.0,78,20.8,90
3449747,santa vitoria do palmar,BR,-33.52,66.81,78,17.27,48
1022393,arboretum,ZA,-28.76,65.01,68,13.47,0
107304,buraydah,SA,26.33,73.4,31,3.29,0
2079582,alyangula,AU,-13.85,80.53,100,11.01,0
798536,rabocheostrovsk,RU,64.99,35.26,100,7.65,88
3931223,puquio,PE,-14.7,64.87,37,3.4,0
5983720,iqaluit,CA,63.75,26.6,73,6.93,90
7091184,valenzuela,PH,14.57,78.8,100,2.24,40
60019,eyl,SO,7.98,75.81,100,8.43,56
2392087,porto-novo,BJ,6.5,82.4,78,9.17,20
2377457,nouadhibou,MR,20.93,78.8,39,14.99,76
1005265,erand,ZA,-25.98,59.65,59,8.05,32
543494,kovernino,RU,57.13,37.38,96,9.78,92
3449401,são bentinho,BR,-17.47,74.32,81,4.63,36
3139765,setermoen,NO,68.86,26.6,100,3.36,75
1015776,bredasdorp,ZA,-34.53,66.2,82,8.05,0
3386213,touros,BR,-5.2,79.59,81,14.36,36
1734240,labuan,MY,5.33,77.0,100,2.24,75
2294915,takoradi,GH,4.88,79.99,100,8.21,8
2508813,adrar,DZ,27.87,73.4,20,6.93,0
535992,leonikha,RU,55.89,41.94,100,8.95,90
3174922,legnago,IT,45.18,51.8,76,5.82,0
3387204,soure,BR,-0.72,83.14,80,11.34,0
3405764,berra bode,BR,-3.9,82.4,69,11.41,0
3868210,vilcun,CL,-38.65,41.65,98,9.66,92
7839452,port lincoln,AU,-34.73,54.93,96,22.86,92
3867427,capitan pablo lagerenza,PY,-19.92,92.41,49,25.88,0
2922580,gardelegen,DE,52.53,41.16,74,12.91,0
2610806,vagur,FO,61.47,44.94,100,6.98,0
3860443,comodoro rivadavia,AR,-45.87,64.4,31,19.46,75
2067089,maningrida,AU,-12.07,79.72,88,2.73,0
1498087,nadym,RU,65.53,17.26,89,5.3,88
4172434,seminole,US,27.84,65.53,52,23.04,40
1501377,kungurtug,RU,50.6,20.05,80,4.74,76
2077963,albany,AU,-35.02,46.33,90,5.86,0
2120047,ust-omchug,RU,61.15,15.51,76,8.77,68
5887531,ashcroft,CA,50.72,56.21,41,17.22,1
287286,muscat,OM,23.61,77.0,69,1.12,0
1527592,naryn,KG,41.43,20.14,66,3.85,48
5919850,chapais,CA,49.78,39.2,86,4.7,90
6148373,sioux lookout,CA,50.1,31.15,100,6.93,90
5330567,brawley,US,32.98,91.4,27,3.36,1
2158767,mareeba,AU,-17.0,75.2,94,2.39,40
524299,murmashi,RU,68.82,28.4,86,2.24,40
3947322,arequipa,PE,-16.4,66.2,24,12.75,0
1270525,hajipur,IN,25.68,71.6,94,8.43,44
3355672,luderitz,NA,-26.65,60.28,75,3.06,0
6533961,palma de mallorca,ES,39.57,62.6,82,2.24,20
5855927,hilo,US,19.73,71.6,69,6.93,20
6441265,obernai,FR,48.46,43.32,75,8.05,0
